Timestamp;OfferedLoad;RngRun;FlowSrc;FlowDst;Throughput;Delay
20210.05-24 09:22;100;224;10.1.13.6;10.1.13.1;19,70;0,05
20210.05-24 09:22;100;224;10.1.9.5;10.1.9.1;19,78;4,08
20210.05-24 09:22;100;224;10.1.4.3;10.1.4.1;0,48;2,63
20210.05-24 09:22;100;224;10.1.5.2;10.1.5.1;21,50;0,07
20210.05-24 09:22;100;224;10.1.10.4;10.1.10.1;8,98;0,04
20210.05-24 09:22;100;224;10.1.7.3;10.1.7.1;4,37;5,47
20210.05-24 09:22;100;224;10.1.6.7;10.1.6.1;0,74;4,53
20210.05-24 09:22;100;224;10.1.2.2;10.1.2.1;2,64;4,47
20210.05-24 09:22;100;224;10.1.10.2;10.1.10.1;0,00;0,00
20210.05-24 09:22;100;224;10.1.2.7;10.1.2.1;1,33;0,04
20210.05-24 09:22;100;224;10.1.16.4;10.1.16.1;0,59;2,02
20210.05-24 09:22;100;224;10.1.17.2;10.1.17.1;1,07;2,80
20210.05-24 09:22;100;224;10.1.7.7;10.1.7.1;6,78;5,08
20210.05-24 09:22;100;224;10.1.12.7;10.1.12.1;11,48;5,24
20210.05-24 09:22;100;224;10.1.11.5;10.1.11.1;0,22;0,66
20210.05-24 09:22;100;224;10.1.7.5;10.1.7.1;0,00;0,00
20210.05-24 09:22;100;224;10.1.18.3;10.1.18.1;9,78;5,31
20210.05-24 09:22;100;224;10.1.9.4;10.1.9.1;0,54;3,59
20210.05-24 09:22;100;224;10.1.12.6;10.1.12.1;0,05;4,04
20210.05-24 09:22;100;224;10.1.8.6;10.1.8.1;1,72;4,48
20210.05-24 09:22;100;224;10.1.5.3;10.1.5.1;0,52;4,14
20210.05-24 09:22;100;224;10.1.12.2;10.1.12.1;8,36;5,45
20210.05-24 09:22;100;224;10.1.14.4;10.1.14.1;7,10;5,34
20210.05-24 09:22;100;224;10.1.18.2;10.1.18.1;1,84;5,82
20210.05-24 09:22;100;224;10.1.11.2;10.1.11.1;0,11;0,21
20210.05-24 09:22;100;224;10.1.6.5;10.1.6.1;8,98;5,47
20210.05-24 09:22;100;224;10.1.16.2;10.1.16.1;0,00;0,00
20210.05-24 09:22;100;224;10.1.13.7;10.1.13.1;0,61;4,91
20210.05-24 09:22;100;224;10.1.13.4;10.1.13.1;0,78;6,11
20210.05-24 09:22;100;224;10.1.17.4;10.1.17.1;0,02;4,56
