Timestamp;OfferedLoad;RngRun;FlowSrc;FlowDst;Throughput;Delay
20210.05-23 17:31;100;224;10.1.12.4;10.1.12.1;11,86;0,04
20210.05-23 17:31;100;224;10.1.7.7;10.1.7.1;5,78;5,36
20210.05-23 17:31;100;224;10.1.8.3;10.1.8.1;3,95;5,29
20210.05-23 17:31;100;224;10.1.10.4;10.1.10.1;19,03;0,04
20210.05-23 17:31;100;224;10.1.12.6;10.1.12.1;0,01;6,69
20210.05-23 17:31;100;224;10.1.5.7;10.1.5.1;0,24;0,54
20210.05-23 17:31;100;224;10.1.1.6;10.1.1.1;1,11;4,00
20210.05-23 17:31;100;224;10.1.1.5;10.1.1.1;0,00;0,00
20210.05-23 17:31;100;224;10.1.10.6;10.1.10.1;2,44;0,09
20210.05-23 17:31;100;224;10.1.11.5;10.1.11.1;0,02;6,51
20210.05-23 17:31;100;224;10.1.5.4;10.1.5.1;11,04;5,17
20210.05-23 17:31;100;224;10.1.0.5;10.1.0.1;13,47;4,99
20210.05-23 17:31;100;224;10.1.13.3;10.1.13.1;0,10;1,15
20210.05-23 17:31;100;224;10.1.8.4;10.1.8.1;1,67;5,50
20210.05-23 17:31;100;224;10.1.11.4;10.1.11.1;1,88;4,32
20210.05-23 17:31;100;224;10.1.8.2;10.1.8.1;0,36;3,98
20210.05-23 17:31;100;224;10.1.11.3;10.1.11.1;0,11;6,39
20210.05-23 17:31;100;224;10.1.14.6;10.1.14.1;6,30;5,56
20210.05-23 17:31;100;224;10.1.4.4;10.1.4.1;0,18;2,23
20210.05-23 17:31;100;224;10.1.13.2;10.1.13.1;17,83;4,29
20210.05-23 17:31;100;224;10.1.6.2;10.1.6.1;8,96;5,26
20210.05-23 17:31;100;224;10.1.14.3;10.1.14.1;6,12;5,57
20210.05-23 17:31;100;224;10.1.12.5;10.1.12.1;0,33;1,25
20210.05-23 17:31;100;224;10.1.2.7;10.1.2.1;21,60;0,01
20210.05-23 17:31;100;224;10.1.10.5;10.1.10.1;0,98;4,66
20210.05-23 17:31;100;224;10.1.7.3;10.1.7.1;5,24;5,51
20210.05-23 17:31;100;224;10.1.14.4;10.1.14.1;6,33;5,55
20210.05-23 17:31;100;224;10.1.14.5;10.1.14.1;0,77;6,10
20210.05-23 17:31;100;224;10.1.3.3;10.1.3.1;4,62;5,44
20210.05-23 17:31;100;224;10.1.16.3;10.1.16.1;6,20;5,36
20210.05-23 17:31;100;224;10.1.3.2;10.1.3.1;4,98;5,49
20210.05-23 17:31;100;224;10.1.1.4;10.1.1.1;0,46;5,81
20210.05-23 17:31;100;224;10.1.17.7;10.1.17.1;3,03;5,30
20210.05-23 17:31;100;224;10.1.18.5;10.1.18.1;3,61;4,89
20210.05-23 17:31;100;224;10.1.16.2;10.1.16.1;0,00;0,00
20210.05-23 17:31;100;224;10.1.13.6;10.1.13.1;0,00;0,00
20210.05-23 17:31;100;224;10.1.6.7;10.1.6.1;0,65;6,05
20210.05-23 17:31;100;224;10.1.16.7;10.1.16.1;6,24;5,54
20210.05-23 17:31;100;224;10.1.9.3;10.1.9.1;1,90;0,11
20210.05-23 17:31;100;224;10.1.13.5;10.1.13.1;0,00;0,00
20210.05-23 17:31;100;224;10.1.17.2;10.1.17.1;0,60;5,66
20210.05-23 17:31;100;224;10.1.16.4;10.1.16.1;0,26;5,87
20210.05-23 17:31;100;224;10.1.17.6;10.1.17.1;13,88;5,01
20210.05-23 17:31;100;224;10.1.18.3;10.1.18.1;9,23;5,50
20210.05-23 17:31;100;224;10.1.8.5;10.1.8.1;0,17;6,65
20210.05-23 17:31;100;224;10.1.8.7;10.1.8.1;13,39;5,14
20210.05-23 17:31;100;224;10.1.5.5;10.1.5.1;0,34;5,65
20210.05-23 17:31;100;224;10.1.10.3;10.1.10.1;10,39;5,44
20210.05-23 17:31;100;224;10.1.10.7;10.1.10.1;9,30;5,38
20210.05-23 17:31;100;224;10.1.4.2;10.1.4.1;7,50;5,40
20210.05-23 17:31;100;224;10.1.15.5;10.1.15.1;5,67;5,24
20210.05-23 17:31;100;224;10.1.15.6;10.1.15.1;0,00;0,00
20210.05-23 17:31;100;224;10.1.12.3;10.1.12.1;0,00;0,00
20210.05-23 17:31;100;224;10.1.1.2;10.1.1.1;0,46;5,70
20210.05-23 17:31;100;224;10.1.2.2;10.1.2.1;1,63;5,01
20210.05-23 17:31;100;224;10.1.5.3;10.1.5.1;0,24;5,37
20210.05-23 17:31;100;224;10.1.6.3;10.1.6.1;0,00;0,00
