Timestamp;OfferedLoad;RngRun;FlowSrc;FlowDst;Throughput;Delay
20210.05-22 21:49;100;224;10.1.15.5;10.1.15.1;6,18;5,05
20210.05-22 21:49;100;224;10.1.10.3;10.1.10.1;10,93;5,22
20210.05-22 21:49;100;224;10.1.11.2;10.1.11.1;17,67;0,04
20210.05-22 21:49;100;224;10.1.16.4;10.1.16.1;0,66;2,18
20210.05-22 21:49;100;224;10.1.13.3;10.1.13.1;0,29;0,81
20210.05-22 21:49;100;224;10.1.12.7;10.1.12.1;11,50;5,22
20210.05-22 21:49;100;224;10.1.8.2;10.1.8.1;0,48;4,80
20210.05-22 21:49;100;224;10.1.4.2;10.1.4.1;9,38;5,29
20210.05-22 21:49;100;224;10.1.16.2;10.1.16.1;0,00;0,00
20210.05-22 21:49;100;224;10.1.8.7;10.1.8.1;14,44;4,82
20210.05-22 21:49;100;224;10.1.3.7;10.1.3.1;1,22;4,10
20210.05-22 21:49;100;224;10.1.13.7;10.1.13.1;0,51;4,79
20210.05-22 21:49;100;224;10.1.1.5;10.1.1.1;1,52;0,06
20210.05-22 21:49;100;224;10.1.18.7;10.1.18.1;0,34;3,62
20210.05-22 21:49;100;224;10.1.17.5;10.1.17.1;0,57;4,30
20210.05-22 21:49;100;224;10.1.13.5;10.1.13.1;0,00;0,00
20210.05-22 21:49;100;224;10.1.15.4;10.1.15.1;7,91;5,58
20210.05-22 21:49;100;224;10.1.18.6;10.1.18.1;3,77;5,19
20210.05-22 21:49;100;224;10.1.14.6;10.1.14.1;6,51;5,54
20210.05-22 21:49;100;224;10.1.11.3;10.1.11.1;0,22;3,65
20210.05-22 21:49;100;224;10.1.18.2;10.1.18.1;1,35;6,03
20210.05-22 21:49;100;224;10.1.17.2;10.1.17.1;0,45;6,23
20210.05-22 21:49;100;224;10.1.12.5;10.1.12.1;0,25;4,01
20210.05-22 21:49;100;224;10.1.18.4;10.1.18.1;1,54;5,54
20210.05-22 21:49;100;224;10.1.1.7;10.1.1.1;7,93;5,17
20210.05-22 21:49;100;224;10.1.4.3;10.1.4.1;0,41;4,06
20210.05-22 21:49;100;224;10.1.10.6;10.1.10.1;0,00;0,00
20210.05-22 21:49;100;224;10.1.2.6;10.1.2.1;0,00;0,00
20210.05-22 21:49;100;224;10.1.7.5;10.1.7.1;0,10;2,19
20210.05-22 21:49;100;224;10.1.5.3;10.1.5.1;1,14;4,02
20210.05-22 21:49;100;224;10.1.2.2;10.1.2.1;2,51;5,48
20210.05-22 21:49;100;224;10.1.7.7;10.1.7.1;6,28;5,42
20210.05-22 21:49;100;224;10.1.13.2;10.1.13.1;16,77;4,52
20210.05-22 21:49;100;224;10.1.0.6;10.1.0.1;5,87;5,20
20210.05-22 21:49;100;224;10.1.18.3;10.1.18.1;9,46;5,53
20210.05-22 21:49;100;224;10.1.7.4;10.1.7.1;7,93;5,25
20210.05-22 21:49;100;224;10.1.12.4;10.1.12.1;0,00;0,00
20210.05-22 21:49;100;224;10.1.17.3;10.1.17.1;3,51;4,96
