Timestamp,OfferedLoad,RngRun,FlowSrc,FlowDst,Throughput,Delay
2021-05-31 13:15,100,336,10.1.1.5,10.1.1.1,1.20978,2.83844
2021-05-31 13:15,100,336,10.1.5.9,10.1.5.1,7.53573,4.59147
2021-05-31 13:15,100,336,10.1.4.2,10.1.4.1,6.05423,4.02952
2021-05-31 13:15,100,336,10.1.4.6,10.1.4.1,0.0334963,1.60134
2021-05-31 13:15,100,336,10.1.1.6,10.1.1.1,0.303742,1.67857
2021-05-31 13:15,100,336,10.1.0.10,10.1.0.1,2.97468,0.0592756
2021-05-31 13:15,100,336,10.1.5.10,10.1.5.1,6.68185,4.56934
2021-05-31 13:15,100,336,10.1.1.7,10.1.1.1,0.101401,2.499
2021-05-31 13:15,100,336,10.1.6.6,10.1.6.1,0.0136654,0.353553
2021-05-31 13:15,100,336,10.1.3.9,10.1.3.1,4.05735,5.29842
2021-05-31 13:15,100,336,10.1.6.4,10.1.6.1,23.7901,3.40178
2021-05-31 13:15,100,336,10.1.3.8,10.1.3.1,2.35387,4.99556
2021-05-31 13:15,100,336,10.1.1.3,10.1.1.1,0.00155168,3.61517
2021-05-31 13:15,100,336,10.1.4.3,10.1.4.1,1.41184,4.82514
2021-05-31 13:15,100,336,10.1.5.4,10.1.5.1,0.121116,3.89338
2021-05-31 13:15,100,336,10.1.2.9,10.1.2.1,1.4244,5.80013
2021-05-31 13:15,100,336,10.1.2.10,10.1.2.1,13.4685,4.34659
2021-05-31 13:15,100,336,10.1.3.7,10.1.3.1,7.60978,4.97333
2021-05-31 13:15,100,336,10.1.4.4,10.1.4.1,0.540344,2.40531
2021-05-31 13:15,100,336,10.1.2.4,10.1.2.1,1.63728,4.98973
2021-05-31 13:15,100,336,10.1.3.3,10.1.3.1,-0,-nan
2021-05-31 13:15,100,336,10.1.0.8,10.1.0.1,10.5317,5.09409
2021-05-31 13:15,100,336,10.1.2.6,10.1.2.1,0.00169565,4.748
2021-05-31 13:15,100,336,10.2.0.2,10.2.0.1,1.14867,6.22472
2021-05-31 13:15,100,336,10.1.5.6,10.1.5.1,0.00108979,2.99716
2021-05-31 13:15,100,336,10.1.1.10,10.1.1.1,8.27733,4.69039
2021-05-31 13:15,100,336,10.1.6.9,10.1.6.1,-0,-nan
2021-05-31 13:15,100,336,10.1.3.6,10.1.3.1,-0,-nan
2021-05-31 13:15,100,336,10.1.6.8,10.1.6.1,8.29555,5.10158
2021-05-31 13:15,100,336,10.1.2.8,10.1.2.1,1.37983,5.86511
2021-05-31 13:15,100,336,10.1.4.8,10.1.4.1,2.57617,5.57565
2021-05-31 13:15,100,336,10.1.4.5,10.1.4.1,0.263949,6.48686
2021-05-31 13:15,100,336,10.1.5.8,10.1.5.1,6.11463,5.49166
2021-05-31 13:15,100,336,10.1.6.10,10.1.6.1,0.0420681,6.26891
2021-05-31 13:15,100,336,10.1.2.7,10.1.2.1,0.000783316,7.3035
2021-05-31 13:15,100,336,10.1.1.8,10.1.1.1,0.112226,5.4663
2021-05-31 13:15,100,336,10.1.5.2,10.1.5.1,7.50902,5.46995
2021-05-31 13:15,100,336,10.1.3.4,10.1.3.1,1.4792,6.07754
2021-05-31 13:15,100,336,10.1.4.10,10.1.4.1,0.779502,5.91016
2021-05-31 13:15,100,336,10.1.2.3,10.1.2.1,6.63204,5.41352
2021-05-31 13:15,100,336,10.1.0.6,10.1.0.1,-0,-nan
2021-05-31 13:15,100,336,10.1.0.2,10.1.0.1,27.7442,3.20855
2021-05-31 13:15,100,336,10.1.6.3,10.1.6.1,0.0528866,6.84929
2021-05-31 13:15,100,336,10.1.0.5,10.1.0.1,0.0596422,6.6238
2021-05-31 13:15,100,336,10.1.3.2,10.1.3.1,-0,-nan
2021-05-31 13:15,100,336,10.1.5.3,10.1.5.1,-0,-nan
2021-05-31 13:15,100,336,10.1.2.2,10.1.2.1,2.68112,5.98412
2021-05-31 13:15,100,336,10.2.2.2,10.2.2.1,-0,-nan
2021-05-31 13:15,100,336,10.1.3.10,10.1.3.1,13.9704,4.55654
2021-05-31 13:15,100,336,10.1.0.9,10.1.0.1,-0,-nan
2021-05-31 13:15,100,336,10.2.1.2,10.2.1.1,3.44751,5.94526
2021-05-31 13:15,100,336,10.1.5.5,10.1.5.1,0.0189426,6.50364
2021-05-31 13:15,100,336,10.1.0.7,10.1.0.1,-0,-nan
2021-05-31 13:15,100,336,10.1.1.9,10.1.1.1,0.213161,6.11705
2021-05-31 13:15,100,336,10.1.0.3,10.1.0.1,-0,-nan
2021-05-31 13:15,100,336,10.1.6.7,10.1.6.1,-0,-nan
2021-05-31 13:15,100,336,10.1.2.5,10.1.2.1,7.08493,5.02286
2021-05-31 13:15,100,336,10.1.6.2,10.1.6.1,-0,-nan
2021-05-31 13:15,100,336,10.1.6.5,10.1.6.1,0.0791892,6.2083
2021-05-31 13:15,100,336,10.1.1.4,10.1.1.1,9.47109,5.05656
2021-05-31 13:15,100,336,10.1.1.2,10.1.1.1,0.0719109,5.84988
2021-05-31 13:15,100,336,10.1.4.9,10.1.4.1,0.055541,6.27704
2021-05-31 13:15,100,336,10.1.3.5,10.1.3.1,-0,-nan
2021-05-31 13:15,100,336,10.1.4.7,10.1.4.1,12.3548,4.77547
2021-05-31 13:15,100,336,10.1.0.4,10.1.0.1,-0,-nan
2021-05-31 13:15,100,336,10.1.5.7,10.1.5.1,3.72708,5.66719
